2025-09-15 21:04:24 | INFO | opening files
2025-09-15 21:04:25 | INFO | generating viz
2025-09-15 21:04:25 | INFO | completed iter
2025-09-15 21:04:25 | INFO | 12/1200: FCN - 2022-08-05 06:00:00 - dict_values([{'smoother': 'noise_grad', 'm': 16, 'n': 1, 'weights_noise_level': 0.1, 'input_noise_level': 0.0}, ('gradient_times_input', <function gradient_times_input at 0x15051847cb80>), 't2m', [171, 17], 'absolute'])
2025-09-15 21:04:25 | INFO | extracting params
2025-09-15 21:04:25 | INFO | opening files
2025-09-15 21:04:25 | INFO | generating viz
2025-09-15 21:04:25 | INFO | completed iter
2025-09-15 21:04:25 | INFO | 13/1200: FCN - 2022-08-05 06:00:00 - dict_values([{'smoother': 'noise_grad', 'm': 16, 'n': 1, 'weights_noise_level': 0.1, 'input_noise_level': 0.0}, ('blur_integrated_grad', <function blur_integrated_grad at 0x15051847cd60>), 't2m', [171, 17], 'absolute'])
2025-09-15 21:04:25 | INFO | extracting params
2025-09-15 21:04:25 | INFO | opening files
2025-09-15 21:04:26 | INFO | generating viz
2025-09-15 21:04:26 | INFO | completed iter
2025-09-15 21:04:26 | INFO | 14/1200: FCN - 2022-08-05 06:00:00 - dict_values([{'smoother': 'noise_grad', 'm': 16, 'n': 1, 'weights_noise_level': 0.1, 'input_noise_level': 0.0}, ('integrated_grad', <function integrated_grad at 0x15051847cc20>), 't2m', [171, 17], 'absolute'])
2025-09-15 21:04:26 | INFO | extracting params
2025-09-15 21:04:26 | INFO | opening files
2025-09-15 21:04:27 | INFO | generating viz
2025-09-15 21:04:27 | INFO | completed iter
2025-09-15 21:04:27 | INFO | 15/1200: FCN - 2022-08-05 06:00:00 - dict_values([{'smoother': 'noise_grad', 'm': 16, 'n': 1, 'weights_noise_level': 0.1, 'input_noise_level': 0.0}, ('expected_grad', <function expected_grad at 0x15051847ccc0>), 't2m', [171, 17], 'absolute'])
2025-09-15 21:04:27 | INFO | extracting params
2025-09-15 21:04:27 | INFO | opening files
2025-09-15 21:04:27 | INFO | generating viz
2025-09-15 21:04:27 | INFO | completed iter
2025-09-15 21:04:27 | INFO | 16/1200: FCN - 2022-08-05 06:00:00 - dict_values([{'smoother': 'fusion_grad', 'm': 4, 'n': 4, 'weights_noise_level': 0.1, 'input_noise_level': 0.1}, ('vanilla_grad', <function vanilla_grad at 0x15051847ca40>), 't2m', [171, 17], 'absolute'])
2025-09-15 21:04:27 | INFO | extracting params
2025-09-15 21:04:27 | INFO | opening files
2025-09-15 21:04:28 | INFO | generating viz
2025-09-15 21:04:28 | INFO | completed iter
2025-09-15 21:04:28 | INFO | 17/1200: FCN - 2022-08-05 06:00:00 - dict_values([{'smoother': 'fusion_grad', 'm': 4, 'n': 4, 'weights_noise_level': 0.1, 'input_noise_level': 0.1}, ('gradient_times_input', <function gradient_times_input at 0x15051847cb80>), 't2m', [171, 17], 'absolute'])
2025-09-15 21:04:28 | INFO | extracting params
2025-09-15 21:04:28 | INFO | opening files
2025-09-15 21:04:29 | INFO | generating viz
2025-09-15 21:04:29 | INFO | completed iter
2025-09-15 21:04:29 | INFO | 18/1200: FCN - 2022-08-05 06:00:00 - dict_values([{'smoother': 'fusion_grad', 'm': 4, 'n': 4, 'weights_noise_level': 0.1, 'input_noise_level': 0.1}, ('blur_integrated_grad', <function blur_integrated_grad at 0x15051847cd60>), 't2m', [171, 17], 'absolute'])
2025-09-15 21:04:29 | INFO | extracting params
2025-09-15 21:04:29 | INFO | opening files
2025-09-15 21:04:29 | INFO | generating viz
2025-09-15 21:04:30 | INFO | completed iter
2025-09-15 21:04:30 | INFO | 19/1200: FCN - 2022-08-05 06:00:00 - dict_values([{'smoother': 'fusion_grad', 'm': 4, 'n': 4, 'weights_noise_level': 0.1, 'input_noise_level': 0.1}, ('integrated_grad', <function integrated_grad at 0x15051847cc20>), 't2m', [171, 17], 'absolute'])
2025-09-15 21:04:30 | INFO | extracting params
2025-09-15 21:04:30 | INFO | opening files
2025-09-15 21:04:30 | INFO | generating viz
2025-09-15 21:04:30 | INFO | completed iter
2025-09-15 21:04:30 | INFO | 20/1200: FCN - 2022-08-05 06:00:00 - dict_values([{'smoother': 'fusion_grad', 'm': 4, 'n': 4, 'weights_noise_level': 0.1, 'input_noise_level': 0.1}, ('expected_grad', <function expected_grad at 0x15051847ccc0>), 't2m', [171, 17], 'absolute'])
2025-09-15 21:04:30 | INFO | extracting params
2025-09-15 21:04:30 | INFO | opening files
2025-09-15 21:04:31 | INFO | generating viz
2025-09-15 21:04:31 | INFO | completed iter
2025-09-15 21:04:31 | INFO | fetching data
2025-09-15 21:04:31 | INFO | 21/1200: FCN - 2022-05-06 18:00:00 - dict_values([{'smoother': 'no_smoothing', 'm': 1, 'n': 1, 'weights_noise_level': 0.0, 'input_noise_level': 0.0}, ('vanilla_grad', <function vanilla_grad at 0x15051847ca40>), 't2m', [171, 17], 'absolute'])
2025-09-15 21:04:31 | INFO | extracting params
2025-09-15 21:04:31 | INFO | opening files
2025-09-15 21:04:32 | INFO | generating viz
2025-09-15 21:04:32 | INFO | completed iter
2025-09-15 21:04:32 | INFO | 22/1200: FCN - 2022-05-06 18:00:00 - dict_values([{'smoother': 'no_smoothing', 'm': 1, 'n': 1, 'weights_noise_level': 0.0, 'input_noise_level': 0.0}, ('gradient_times_input', <function gradient_times_input at 0x15051847cb80>), 't2m', [171, 17], 'absolute'])
2025-09-15 21:04:32 | INFO | extracting params
2025-09-15 21:04:32 | INFO | opening files
2025-09-15 21:04:33 | INFO | generating viz
2025-09-15 21:04:33 | INFO | completed iter
2025-09-15 21:04:33 | INFO | 23/1200: FCN - 2022-05-06 18:00:00 - dict_values([{'smoother': 'no_smoothing', 'm': 1, 'n': 1, 'weights_noise_level': 0.0, 'input_noise_level': 0.0}, ('blur_integrated_grad', <function blur_integrated_grad at 0x15051847cd60>), 't2m', [171, 17], 'absolute'])
2025-09-15 21:04:33 | INFO | extracting params
2025-09-15 21:04:33 | INFO | opening files
2025-09-15 21:04:33 | INFO | generating viz
2025-09-15 21:04:34 | INFO | completed iter
2025-09-15 21:04:34 | INFO | 24/1200: FCN - 2022-05-06 18:00:00 - dict_values([{'smoother': 'no_smoothing', 'm': 1, 'n': 1, 'weights_noise_level': 0.0, 'input_noise_level': 0.0}, ('integrated_grad', <function integrated_grad at 0x15051847cc20>), 't2m', [171, 17], 'absolute'])
2025-09-15 21:04:34 | INFO | extracting params
2025-09-15 21:04:34 | INFO | opening files
2025-09-15 21:04:34 | INFO | generating viz
2025-09-15 21:04:34 | INFO | completed iter
2025-09-15 21:04:34 | INFO | 25/1200: FCN - 2022-05-06 18:00:00 - dict_values([{'smoother': 'no_smoothing', 'm': 1, 'n': 1, 'weights_noise_level': 0.0, 'input_noise_level': 0.0}, ('expected_grad', <function expected_grad at 0x15051847ccc0>), 't2m', [171, 17], 'absolute'])
2025-09-15 21:04:34 | INFO | extracting params
2025-09-15 21:04:34 | INFO | opening files
2025-09-15 21:04:35 | INFO | generating viz
2025-09-15 21:04:35 | INFO | completed iter
2025-09-15 21:04:35 | INFO | 26/1200: FCN - 2022-05-06 18:00:00 - dict_values([{'smoother': 'smooth_grad', 'm': 1, 'n': 16, 'weights_noise_level': 0.0, 'input_noise_level': 0.1}, ('vanilla_grad', <function vanilla_grad at 0x15051847ca40>), 't2m', [171, 17], 'absolute'])
2025-09-15 21:04:35 | INFO | extracting params
2025-09-15 21:04:35 | INFO | opening files
2025-09-15 21:04:36 | INFO | generating viz
2025-09-15 21:04:36 | INFO | completed iter
2025-09-15 21:04:36 | INFO | 27/1200: FCN - 2022-05-06 18:00:00 - dict_values([{'smoother': 'smooth_grad', 'm': 1, 'n': 16, 'weights_noise_level': 0.0, 'input_noise_level': 0.1}, ('gradient_times_input', <function gradient_times_input at 0x15051847cb80>), 't2m', [171, 17], 'absolute'])
2025-09-15 21:04:36 | INFO | extracting params
2025-09-15 21:04:36 | INFO | opening files
2025-09-15 21:04:36 | INFO | generating viz
2025-09-15 21:04:36 | INFO | completed iter
2025-09-15 21:04:36 | INFO | 28/1200: FCN - 2022-05-06 18:00:00 - dict_values([{'smoother': 'smooth_grad', 'm': 1, 'n': 16, 'weights_noise_level': 0.0, 'input_noise_level': 0.1}, ('blur_integrated_grad', <function blur_integrated_grad at 0x15051847cd60>), 't2m', [171, 17], 'absolute'])
2025-09-15 21:04:36 | INFO | extracting params
2025-09-15 21:04:36 | INFO | opening files
2025-09-15 21:04:37 | INFO | generating viz
2025-09-15 21:04:37 | INFO | completed iter
2025-09-15 21:04:37 | INFO | 29/1200: FCN - 2022-05-06 18:00:00 - dict_values([{'smoother': 'smooth_grad', 'm': 1, 'n': 16, 'weights_noise_level': 0.0, 'input_noise_level': 0.1}, ('integrated_grad', <function integrated_grad at 0x15051847cc20>), 't2m', [171, 17], 'absolute'])
2025-09-15 21:04:37 | INFO | extracting params
2025-09-15 21:04:37 | INFO | opening files
2025-09-15 21:04:38 | INFO | generating viz
2025-09-15 21:04:38 | INFO | completed iter
2025-09-15 21:04:38 | INFO | 30/1200: FCN - 2022-05-06 18:00:00 - dict_values([{'smoother': 'smooth_grad', 'm': 1, 'n': 16, 'weights_noise_level': 0.0, 'input_noise_level': 0.1}, ('expected_grad', <function expected_grad at 0x15051847ccc0>), 't2m', [171, 17], 'absolute'])
2025-09-15 21:04:38 | INFO | extracting params
2025-09-15 21:04:38 | INFO | opening files
2025-09-15 21:04:38 | INFO | generating viz
2025-09-15 21:04:39 | INFO | completed iter
2025-09-15 21:04:39 | INFO | 31/1200: FCN - 2022-05-06 18:00:00 - dict_values([{'smoother': 'noise_grad', 'm': 16, 'n': 1, 'weights_noise_level': 0.1, 'input_noise_level': 0.0}, ('vanilla_grad', <function vanilla_grad at 0x15051847ca40>), 't2m', [171, 17], 'absolute'])
2025-09-15 21:04:39 | INFO | extracting params
2025-09-15 21:04:39 | INFO | opening files
2025-09-15 21:04:39 | INFO | generating viz
2025-09-15 21:04:39 | INFO | completed iter
2025-09-15 21:04:39 | INFO | 32/1200: FCN - 2022-05-06 18:00:00 - dict_values([{'smoother': 'noise_grad', 'm': 16, 'n': 1, 'weights_noise_level': 0.1, 'input_noise_level': 0.0}, ('gradient_times_input', <function gradient_times_input at 0x15051847cb80>), 't2m', [171, 17], 'absolute'])
2025-09-15 21:04:39 | INFO | extracting params
2025-09-15 21:04:39 | INFO | opening files
2025-09-15 21:04:40 | INFO | generating viz
2025-09-15 21:04:40 | INFO | completed iter
2025-09-15 21:04:40 | INFO | 33/1200: FCN - 2022-05-06 18:00:00 - dict_values([{'smoother': 'noise_grad', 'm': 16, 'n': 1, 'weights_noise_level': 0.1, 'input_noise_level': 0.0}, ('blur_integrated_grad', <function blur_integrated_grad at 0x15051847cd60>), 't2m', [171, 17], 'absolute'])
2025-09-15 21:04:40 | INFO | extracting params
2025-09-15 21:04:40 | INFO | opening files
2025-09-15 21:04:40 | INFO | generating viz
2025-09-15 21:04:41 | INFO | completed iter
2025-09-15 21:04:41 | INFO | 34/1200: FCN - 2022-05-06 18:00:00 - dict_values([{'smoother': 'noise_grad', 'm': 16, 'n': 1, 'weights_noise_level': 0.1, 'input_noise_level': 0.0}, ('integrated_grad', <function integrated_grad at 0x15051847cc20>), 't2m', [171, 17], 'absolute'])
2025-09-15 21:04:41 | INFO | extracting params
2025-09-15 21:04:41 | INFO | opening files
2025-09-15 21:04:41 | INFO | generating viz
2025-09-15 21:04:41 | INFO | completed iter
2025-09-15 21:04:41 | INFO | 35/1200: FCN - 2022-05-06 18:00:00 - dict_values([{'smoother': 'noise_grad', 'm': 16, 'n': 1, 'weights_noise_level': 0.1, 'input_noise_level': 0.0}, ('expected_grad', <function expected_grad at 0x15051847ccc0>), 't2m', [171, 17], 'absolute'])
2025-09-15 21:04:41 | INFO | extracting params
2025-09-15 21:04:41 | INFO | opening files
2025-09-15 21:04:42 | INFO | generating viz
2025-09-15 21:04:42 | INFO | completed iter
2025-09-15 21:04:42 | INFO | 36/1200: FCN - 2022-05-06 18:00:00 - dict_values([{'smoother': 'fusion_grad', 'm': 4, 'n': 4, 'weights_noise_level': 0.1, 'input_noise_level': 0.1}, ('vanilla_grad', <function vanilla_grad at 0x15051847ca40>), 't2m', [171, 17], 'absolute'])
2025-09-15 21:04:42 | INFO | extracting params
2025-09-15 21:04:42 | INFO | opening files
2025-09-15 21:04:43 | INFO | generating viz
2025-09-15 21:04:43 | INFO | completed iter
2025-09-15 21:04:43 | INFO | 37/1200: FCN - 2022-05-06 18:00:00 - dict_values([{'smoother': 'fusion_grad', 'm': 4, 'n': 4, 'weights_noise_level': 0.1, 'input_noise_level': 0.1}, ('gradient_times_input', <function gradient_times_input at 0x15051847cb80>), 't2m', [171, 17], 'absolute'])
2025-09-15 21:04:43 | INFO | extracting params
2025-09-15 21:04:43 | INFO | opening files
2025-09-15 21:04:43 | INFO | generating viz
2025-09-15 21:06:55 | INFO | loading functions and models
2025-09-15 21:08:31 | INFO | setting up experiment
2025-09-15 21:08:32 | INFO | fetching data
2025-09-15 21:08:32 | INFO | 1/1200: FCN - 2022-08-05 06:00:00 - dict_values([{'smoother': 'no_smoothing', 'm': 1, 'n': 1, 'weights_noise_level': 0.0, 'input_noise_level': 0.0}, ('vanilla_grad', <function vanilla_grad at 0x1455294bcd60>), 't2m', [171, 17], 'absolute'])
2025-09-15 21:08:32 | INFO | extracting params
2025-09-15 21:08:32 | INFO | opening files
2025-09-15 21:08:32 | INFO | generating viz
2025-09-15 21:09:36 | INFO | completed iter
2025-09-15 21:09:36 | INFO | 2/1200: FCN - 2022-08-05 06:00:00 - dict_values([{'smoother': 'no_smoothing', 'm': 1, 'n': 1, 'weights_noise_level': 0.0, 'input_noise_level': 0.0}, ('gradient_times_input', <function gradient_times_input at 0x1455294bcea0>), 't2m', [171, 17], 'absolute'])
2025-09-15 21:09:36 | INFO | extracting params
2025-09-15 21:09:36 | INFO | opening files
2025-09-15 21:09:36 | INFO | generating viz
2025-09-15 21:10:35 | INFO | completed iter
2025-09-15 21:10:35 | INFO | 3/1200: FCN - 2022-08-05 06:00:00 - dict_values([{'smoother': 'no_smoothing', 'm': 1, 'n': 1, 'weights_noise_level': 0.0, 'input_noise_level': 0.0}, ('blur_integrated_grad', <function blur_integrated_grad at 0x1455294bd080>), 't2m', [171, 17], 'absolute'])
2025-09-15 21:10:35 | INFO | extracting params
2025-09-15 21:10:35 | INFO | opening files
2025-09-15 21:10:36 | INFO | generating viz
2025-09-15 21:11:35 | INFO | completed iter
2025-09-15 21:11:35 | INFO | 4/1200: FCN - 2022-08-05 06:00:00 - dict_values([{'smoother': 'no_smoothing', 'm': 1, 'n': 1, 'weights_noise_level': 0.0, 'input_noise_level': 0.0}, ('integrated_grad', <function integrated_grad at 0x1455294bcf40>), 't2m', [171, 17], 'absolute'])
2025-09-15 21:11:35 | INFO | extracting params
2025-09-15 21:11:35 | INFO | opening files
2025-09-15 21:11:36 | INFO | generating viz
2025-09-15 21:12:36 | INFO | completed iter
2025-09-15 21:12:36 | INFO | 5/1200: FCN - 2022-08-05 06:00:00 - dict_values([{'smoother': 'no_smoothing', 'm': 1, 'n': 1, 'weights_noise_level': 0.0, 'input_noise_level': 0.0}, ('expected_grad', <function expected_grad at 0x1455294bcfe0>), 't2m', [171, 17], 'absolute'])
2025-09-15 21:12:36 | INFO | extracting params
2025-09-15 21:12:36 | INFO | opening files
2025-09-15 21:12:37 | INFO | generating viz
2025-09-15 21:13:37 | INFO | completed iter
2025-09-15 21:13:37 | INFO | 6/1200: FCN - 2022-08-05 06:00:00 - dict_values([{'smoother': 'smooth_grad', 'm': 1, 'n': 16, 'weights_noise_level': 0.0, 'input_noise_level': 0.1}, ('vanilla_grad', <function vanilla_grad at 0x1455294bcd60>), 't2m', [171, 17], 'absolute'])
2025-09-15 21:13:37 | INFO | extracting params
2025-09-15 21:13:37 | INFO | opening files
2025-09-15 21:13:37 | INFO | generating viz
2025-09-15 21:14:38 | INFO | completed iter
2025-09-15 21:14:38 | INFO | 7/1200: FCN - 2022-08-05 06:00:00 - dict_values([{'smoother': 'smooth_grad', 'm': 1, 'n': 16, 'weights_noise_level': 0.0, 'input_noise_level': 0.1}, ('gradient_times_input', <function gradient_times_input at 0x1455294bcea0>), 't2m', [171, 17], 'absolute'])
2025-09-15 21:14:38 | INFO | extracting params
2025-09-15 21:14:38 | INFO | opening files
2025-09-15 21:14:39 | INFO | generating viz
2025-09-15 21:15:38 | INFO | completed iter
2025-09-15 21:15:38 | INFO | 8/1200: FCN - 2022-08-05 06:00:00 - dict_values([{'smoother': 'smooth_grad', 'm': 1, 'n': 16, 'weights_noise_level': 0.0, 'input_noise_level': 0.1}, ('blur_integrated_grad', <function blur_integrated_grad at 0x1455294bd080>), 't2m', [171, 17], 'absolute'])
2025-09-15 21:15:38 | INFO | extracting params
2025-09-15 21:15:38 | INFO | opening files
